,INDICATOR_ID,COUNTRY_ID,YEAR,VALUE,MAGNITUDE,QUALIFIER
7462,GER.02.F,UZB,2010,25.61124,,
7734,GER.02.F,MKD,2000,28.34737,,
7783,GER.02.F,GIB,1976,2.5641,,
7861,GER.02.F,MUS,1998,93.18706,,
7901,GER.02.F,SLV,2014,66.28586,,
7904,GER.02.F,GTM,2013,44.16298,,
7972,GER.02.F,IRN,1985,5.05693,,
8047,GER.02.F,UZB,2016,24.74644,,
8425,GER.02.F,HUN,1983,66.86623,,
8568,GER.02.F,GLP,1972,19.88559,,UIS_EST
8613,GER.02.F,BHR,1999,34.43135,,
8637,GER.02.F,CRI,1982,22.17509,,
8703,GER.02.F,BOL,1997,38.10277,,
8764,GER.02.F,HKG,1971,50.79809,,
8956,GER.02.F,BGR,2013,79.28771,,
8980,GER.02.F,BMU,2003,51.6624,,
9214,GER.02.F,DNK,1989,94.869,,
9383,GER.02.F,LBN,1983,54.8833,,
9443,GER.02.F,HUN,1974,50.52288,,
9522,GER.02.F,SMR,1988,105.19126,,
9585,GER.02.F,BLZ,2008,38.24144,,
9974,GER.02.F,SAU,2018,21.7443,,
10134,GER.02.F,KAZ,2007,36.15677,,
10585,GER.02.F,GBR,2002,82.45007,,
10766,GER.02.F,CHN,2000,44.0795,,
10867,GER.02.F,USA,2010,70.84827,,NAT_EST
10968,GER.02.F,VUT,2009,92.36172,,
11163,GER.02.F,GBR,1988,47.94405,,
11242,GER.02.F,LCA,2010,70.81545,,
11364,GER.02.F,CUB,1993,81.76847,,
11373,GER.02.F,PLW,2003,82.97872,,
11482,GER.02.F,ITA,1985,84.314,,
11695,GER.02.F,PLW,2014,77.52161,,
11717,GER.02.F,VAT,1998,0,,
11778,GER.02.F,SYC,1996,100.96277,,
11819,GER.02.F,NIC,1996,21.55217,,
12011,GER.02.F,MLI,1996,1.32331,,
12068,GER.02.F,ETH,1992,1.19596,,
12205,GER.02.F,MLT,2001,99.93655,,
12262,GER.02.F,NAM,2002,53.80706,,
12367,GER.02.F,CMR,1979,6.17521,,
12456,GER.02.F,FIN,2015,79.56127,,
12503,GER.02.F,KWT,2016,69.35556,,
12661,GER.02.F,ARM,2017,53.14896,,
12908,GER.02.F,OMN,1977,0.07693,,UIS_EST
12912,GER.02.F,DZA,2004,4.63464,,
12916,GER.02.F,BGD,1988,71.28105,,
12978,GER.02.F,SYC,1997,100.90556,,
12993,GER.02.F,KEN,1995,34.89275,,
13044,GER.02.F,KNA,1994,109.7867,,
13077,GER.02.F,CAN,1985,56.83591,,
13081,GER.02.F,BDI,2003,1.23832,,
13208,GER.02.F,BFA,1995,1.06457,,
13229,GER.02.F,BHR,1986,23.85497,,
13230,GER.02.F,MDA,1990,70.76415,,
13269,GER.02.F,BLZ,2003,25.6557,,
13280,GER.02.F,SWE,2012,94.63822,,
13337,GER.02.F,CIV,2006,3.03011,,
13402,GER.02.F,CMR,1999,10.65549,,
13525,GER.02.F,MDV,2007,91.11385,,
13592,GER.02.F,EST,2011,86.14787,,
13726,GER.02.F,KWT,1982,38.88821,,
13791,GER.02.F,UKR,2000,51.32764,,
13845,GER.02.F,MDA,2013,81.31475,,NAT_EST
13992,GER.02.F,ROU,2009,79.47181,,
14046,GER.02.F,VAT,1994,0,,
14092,GER.02.F,MYS,2007,64.30697,,
14282,GER.02.F,IDN,2017,59.96305,,
14298,GER.02.F,AUT,2007,90.78311,,
14333,GER.02.F,SYR,1986,5.00627,,
14404,GER.02.F,MAR,2002,42.63095,,
14440,GER.02.F,MEX,1976,13.58225,,
14766,GER.02.F,BHS,2002,31.56453,,
14837,GER.02.F,BTN,2016,28.96105,,
14986,GER.02.F,PHL,2001,29.65435,,
15143,GER.02.F,VNM,2003,48.62526,,
15430,GER.02.F,IND,1987,2.75226,,
15535,GER.02.F,DMA,2014,87.99102,,
15601,GER.02.F,TTO,2004,85.53397,,
15700,GER.02.F,SVN,2006,81.30075,,
15749,GER.02.F,KEN,1986,27.6095,,
15821,GER.02.F,BTN,1995,1.52416,,
15854,GER.02.F,GIB,1985,24.65116,,
