Countries,Indicator1,Indicator2,Indicator3,Indicator4,Population
India,150,124,159,87,10000
Pakistan,220,180,199,195,2000
America,120,2,123,102,5000
China,100,200,54,78,15000
Italy,99,96,36,94,1500
Germany,12,78,97,96,1800
France,55,107,75,75,900
Australia,75,125,98,171,2100
Barbados,88,20,48,147,500
Cuba,92,99,92,41,800
Mongolia,109,16,159,165,1000
Spain,151,133,163,4,2500
Bolivia,170,185,45,66,1700
Peru,14,194,51,24,3100
Iraq,68,82,87,11,3500
Chile,99,54,179,173,1000
Hong Kong,200,77,105,116,1200
Ireland,38,80,118,76,600
Slovakia,16,119,78,80,500
Monaco,72,191,3,198,950
Romania,132,11,28,56,1050
Madagascar,154,192,102,151,300
Afghanistan,74,199,133,184,3000
UK,40,18,14,93,4000
Indonesia,135,155,197,23,4500
