INDICATOR_ID,ROOT,FILE,DESCRIPTION
GER.02,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL,  EDUN_DATA_REGIONAL","Gross enrolment ratio, pre-primary"
OAEPG.1,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL","Percentage of pupils enrolled in primary education"
ROFST.1.cp,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL","Out-of-school rate for primary school age"
CR.1,"SDG, EDUN","SDG_DATA_NATIONAL, EDUN_DATA_NATIONAL","Completion rate, primary education"
ROFST.2.cp,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL","Out-of-school rate for lower secondary school age"
CR.2,"SDG, EDUN","SDG_DATA_NATIONAL, EDUN_DATA_NATIONAL","Completion rate, lower secondary education"
GTranR.5t8,EDUN,EDUN_DATA_NATIONAL,"Gross transition ratio from secondary to tertiary education"
ROFST.3.F.cp,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL","Out-of-school rate for upper secondary school age, female"
CR.3,"SDG, EDUN","SDG_DATA_NATIONAL, EDUN_DATA_NATIONAL","Completion rate, upper secondary education"
EA.6t8.Ag25t99,"EDUN, SDG","SDG_DATA_NATIONAL, EDUN_DATA_NATIONAL","Educational attainment rate, Bachelor's or higher"
MYS.1t8.Ag25t99,EDUN,EDUN_DATA_NATIONAL,"Mean years of schooling, population 25+ years"
LR.Ag15t24,"SDG, EDUN","SDG_DATA_NATIONAL, SDG_DATA_REGIONAL, EDUN_DATA_NATIONAL","Youth literacy rate, population 15-24 years"
XUNIT.GDPcap.02.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding pre-primary as % of GDP/capita
XUNIT.GDPcap.1.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding primary as % of GDP/capita
XUNIT.GDPcap.1.FShh.FFntr,SDG,SDG_DATA_NATIONAL,Initial household funding primary as % of GDP/capita
XUNIT.GDPcap.2.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding lower secondary as % of GDP/capita
XUNIT.GDPcap.2t3.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding secondary as % of GDP/capita
XUNIT.GDPcap.2t3.FShh.FFntr,SDG,SDG_DATA_NATIONAL,Initial household funding secondary as % of GDP/capita
XUNIT.GDPcap.3.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding upper secondary as % of GDP/capita
XUNIT.GDPcap.5t8.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,Initial govt funding tertiary as % of GDP/capita
XUNIT.GDPcap.5t8.FShh.FFntr,SDG,SDG_DATA_NATIONAL,Initial household funding tertiary as % of GDP/capita
XUNIT.PPPconst.02.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding pre-primary student, PPP$"
XUNIT.PPPconst.1.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding primary student, PPP$"
XUNIT.PPPconst.1.FShh.FFntr,SDG,SDG_DATA_NATIONAL,"Initial household funding primary student, PPP$"
XUNIT.PPPconst.2.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding lower secondary student, PPP$"
XUNIT.PPPconst.2t3.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding secondary student, PPP$"
XUNIT.PPPconst.2t3.FShh.FFntr,SDG,SDG_DATA_NATIONAL,"Initial household funding secondary student, PPP$"
XUNIT.PPPconst.3.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding upper secondary student, PPP$"
XUNIT.PPPconst.5t8.FSgov.FFntr,SDG,SDG_DATA_NATIONAL,"Initial govt funding tertiary student, PPP$"
XUNIT.PPPconst.5t8.FShh.FFntr,SDG,SDG_DATA_NATIONAL,"Initial household funding tertiary student, PPP$"
SchBSP.1.Wcomput,SDG,SDG_DATA_NATIONAL,Proportion of primary schools with access to computers
SchBSP.1.WElec,SDG,SDG_DATA_NATIONAL,Proportion of primary schools with access to electricity
SchBSP.1.WIntern,SDG,SDG_DATA_NATIONAL,Proportion of primary schools with access to Internet
SchBSP.1.WWatA,SDG,SDG_DATA_NATIONAL,Proportion of primary schools with access to drinking water
NY.GDP.PCAP.CD,DEM,DEM_DATA_NATIONAL,GDP/capita (current US$)
